Object,RA,DEC,DateObs,setting,WaveMin,WaveMax,Filename
HD183143,291.860579,18.29521,2018-09-07T02:34:13.737,346,3282,3333.4,/HD183143/BLUE_346/HD183143_w346_blue_20180907_O12.fits
HD184915,294.222725,-7.02811,2016-06-09T08:12:10.144,346,3281.9,3333.4,/HD184915/BLUE_346/HD184915_w346_blue_20160609_O12.fits
HD184915,294.222313,-7.02739,2014-09-16T04:20:05.368,346,3281.9,3333.4,/HD184915/BLUE_346/HD184915_w346_blue_20140916_O12.fits
HD184915,294.222322,-7.02738,2014-09-15T03:45:46.864,346,3281.9,3333.4,/HD184915/BLUE_346/HD184915_w346_blue_20140915_O12.fits
HD185418,294.614393,17.25661,2014-09-22T02:53:00.147,346,3281.9,3333.4,/HD185418/BLUE_346/HD185418_w346_blue_20140922_O12.fits
HD185418,294.614183,17.25677,2014-09-23T01:00:31.621,346,3281.9,3333.4,/HD185418/BLUE_346/HD185418_w346_blue_20140923_O12.fits
HD185859,295.11756,20.47727,2016-08-14T00:56:41.266,346,3281.9,3333.4,/HD185859/BLUE_346/HD185859_w346_blue_20160814_O12.fits
HD185859,295.118334,20.47666,2015-09-20T01:26:06.199,346,3282,3333.4,/HD185859/BLUE_346/HD185859_w346_blue_20150920_O12.fits
HD185859,295.117658,20.47661,2016-08-13T02:22:37.480,346,3281.9,3333.4,/HD185859/BLUE_346/HD185859_w346_blue_20160813_O12.fits
HD186745,296.351634,23.94232,2015-09-20T02:45:54.443,346,3282,3333.4,/HD186745/BLUE_346/HD186745_w346_blue_20150920_O12.fits
HD186745,296.351328,23.94262,2016-09-09T00:21:33.330,346,3281.9,3333.4,/HD186745/BLUE_346/HD186745_w346_blue_20160909_O12.fits
HD186841,296.475818,24.0964,2016-09-09T01:37:11.655,346,3281.9,3333.4,/HD186841/BLUE_346/HD186841_w346_blue_20160909_O12.fits
HD186841,296.476172,24.09623,2016-09-10T01:11:20.789,346,3281.9,3333.4,/HD186841/BLUE_346/HD186841_w346_blue_20160910_O12.fits
HD203532,323.475741,-82.68376,2016-07-24T07:11:05.513,346,3281.9,3333.4,/HD203532/BLUE_346/HD203532_w346_blue_20160724_O12.fits
HD203532,323.476168,-82.6836,2014-09-23T02:48:15.556,346,3281.9,3333.4,/HD203532/BLUE_346/HD203532_w346_blue_20140923_O12.fits
HD210121,332.049574,-3.53134,2017-09-22T01:58:05.314,346,3281.9,3333.4,/HD210121/BLUE_346/HD210121_w346_blue_20170922_O12.fits
HD22951,55.594176,33.96498,2016-08-29T09:15:40.212,346,3281.9,3333.4,/HD22951/BLUE_346/HD22951_w346_blue_20160829_O12.fits
HD23016,55.578845,19.70009,2014-09-23T07:35:23.275,346,3281.9,3333.4,/HD23016/BLUE_346/HD23016_w346_blue_20140923_O12.fits
HD23016,55.578911,19.70007,2014-09-20T06:28:41.890,346,3281.9,3333.4,/HD23016/BLUE_346/HD23016_w346_blue_20140920_O12.fits
HD23180,56.080197,32.2883,2014-09-23T08:53:59.142,346,3281.9,3333.4,/HD23180/BLUE_346/HD23180_w346_blue_20140923_O12.fits
HD23180,56.079973,32.28825,2014-10-29T06:41:22.060,346,3281.9,3333.4,/HD23180/BLUE_346/HD23180_w346_blue_20141029_O12.fits
HD23180,56.079541,32.28828,2016-08-19T09:37:42.472,346,3281.9,3333.4,/HD23180/BLUE_346/HD23180_w346_blue_20160819_O12.fits
HD23180,56.079603,32.28805,2017-08-27T09:13:00.048,346,3281.9,3333.4,/HD23180/BLUE_346/HD23180_w346_blue_20170827_O12.fits
HD23466,56.41853,6.04989,2018-07-31T08:56:40.119,346,3281.9,3333.4,/HD23466/BLUE_346/HD23466_w346_blue_20180731_O12.fits
HD24398,58.533094,31.88351,2016-09-14T08:37:19.909,346,3281.9,3333.4,/HD24398/BLUE_346/HD24398_w346_blue_20160914_O12.fits
HD24398,58.532869,31.88341,2014-09-23T08:40:30.164,346,3281.9,3333.4,/HD24398/BLUE_346/HD24398_w346_blue_20140923_O12.fits
HD27778,65.998856,24.30104,2014-10-29T07:45:38.157,346,3281.9,3333.4,/HD27778/BLUE_346/HD27778_w346_blue_20141029_O12.fits
HD27778,65.998959,24.30096,2014-11-22T04:41:25.785,346,3281.9,3333.4,/HD27778/BLUE_346/HD27778_w346_blue_20141122_O12.fits
HD303308,161.274641,-59.6685,2017-01-07T05:58:24.221,346,3282,3333.4,/HD303308/BLUE_346/HD303308_w346_blue_20170107_O12.fits
HD303308,161.274769,-59.66833,2017-05-01T03:02:35.092,346,3281.9,3333.4,/HD303308/BLUE_346/HD303308_w346_blue_20170501_O12.fits
HD34748,79.897179,-1.41189,2016-02-23T01:39:15.561,346,3281.9,3333.4,/HD34748/BLUE_346/HD34748_w346_blue_20160223_O12.fits
HD34748,79.896899,-1.4119,2016-04-06T00:38:55.796,346,3281.9,3333.4,/HD34748/BLUE_346/HD34748_w346_blue_20160406_O12.fits
HD36486,83.001635,-0.29904,2014-09-24T08:22:53.242,346,3281.9,3333.4,/HD36486/BLUE_346/HD36486_w346_blue_20140924_O12.fits
HD36486,83.001405,-0.29893,2014-09-30T05:59:50.598,346,3281.9,3333.4,/HD36486/BLUE_346/HD36486_w346_blue_20140930_O12.fits
HD36486,83.001612,-0.29928,2014-10-10T05:34:37.745,346,3281.9,3333.4,/HD36486/BLUE_346/HD36486_w346_blue_20141010_O12.fits
HD36695,83.381056,-1.15626,2015-08-22T09:44:16.119,346,3281.9,3333.4,/HD36695/BLUE_346/HD36695_w346_blue_20150822_O12.fits
HD36822,83.705039,9.48951,2014-09-26T08:03:33.601,346,3281.9,3333.4,/HD36822/BLUE_346/HD36822_w346_blue_20140926_O12.fits
HD36861,83.78449,9.93413,2016-02-22T02:49:30.211,346,3281.9,3333.4,/HD36861/BLUE_346/HD36861_w346_blue_20160222_O12.fits
HD36861,83.784496,9.93418,2014-09-26T08:59:15.645,346,3281.9,3333.4,/HD36861/BLUE_346/HD36861_w346_blue_20140926_O12.fits
