Object,RA,DEC,DateObs,setting,WaveMin,WaveMax,Filename
HD37023,83.822006,-5.38782,2018-02-16T01:51:18.009,860,7564.3,7689.9,/HD37023/RED_860/HD37023_w860_redl_20180216_O12.fits
HD24398,58.533055,31.88365,2017-09-05T09:05:54.482,860,7564.3,7689.9,/HD24398/RED_860/HD24398_w860_redl_20170905_O12.fits
HD24398,58.532836,31.88373,2014-09-25T08:24:56.112,860,7564.1,7689.8,/HD24398/RED_860/HD24398_w860_redl_20140925_O12.fits
HD50820,103.67535,-1.75663,2017-09-17T08:47:03.757,860,7564.3,7689.9,/HD50820/RED_860/HD50820_w860_redl_20170917_O12.fits
HD50820,103.675191,-1.75633,2018-01-17T03:32:06.918,860,7564.3,7689.9,/HD50820/RED_860/HD50820_w860_redl_20180117_O12.fits
HD54662,107.334345,-10.34645,2016-02-21T02:54:00.051,860,7564.3,7689.9,/HD54662/RED_860/HD54662_w860_redl_20160221_O12.fits
HD54662,107.334391,-10.34665,2015-11-21T07:06:31.523,860,7564.3,7689.9,/HD54662/RED_860/HD54662_w860_redl_20151121_O12.fits
HD167971,274.524372,-12.2433,2014-09-20T00:35:38.952,860,7564.1,7689.8,/HD167971/RED_860/HD167971_w860_redl_20140920_O12.fits
HD73882,129.789528,-40.41926,2017-04-25T01:28:06.736,860,7564.3,7689.9,/HD73882/RED_860/HD73882_w860_redl_20170425_O12.fits
HD148184,246.756347,-18.45645,2018-06-29T05:50:56.635,860,7564.3,7689.9,/HD148184/RED_860/HD148184_w860_redl_20180629_O12.fits
HD63804,117.331633,-33.32982,2019-02-04T06:52:55.033,860,7564.3,7689.9,/HD63804/RED_860/HD63804_w860_redl_20190204_O12.fits
HD63804,117.331842,-33.32964,2019-02-03T08:12:51.475,860,7564.3,7689.9,/HD63804/RED_860/HD63804_w860_redl_20190203_O12.fits
HD79186,137.768372,-44.8679,2014-11-16T08:05:56.209,860,7564.1,7689.8,/HD79186/RED_860/HD79186_w860_redl_20141116_O12.fits
